City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Kavaratti,IN,2021-03-21 22:21:35,10.5669,72.642,82.04,72,8,7.65
115,Kodinsk,RU,2021-03-21 22:21:35,58.6881,99.1844,25.66,96,98,5.73
116,Busselton,AU,2021-03-21 22:18:43,-33.65,115.3333,64.0,96,88,4.0
117,The Valley,AI,2021-03-21 22:21:36,18.217,-63.0578,80.6,73,20,12.66
118,Kaohsiung,TW,2021-03-21 22:21:36,22.6163,120.3133,62.6,67,75,8.05
119,Tiksi,RU,2021-03-21 22:21:36,71.6872,128.8694,-16.73,97,100,11.27
120,Bandarbeyla,SO,2021-03-21 22:21:37,9.4942,50.8122,77.0,68,0,7.36
121,Saint-Philippe,RE,2021-03-21 22:21:37,-21.3585,55.7679,77.0,88,20,6.91
122,Morro Agudo,BR,2021-03-21 22:21:37,-20.7314,-48.0578,82.4,47,0,4.61
123,Bac Ninh,VN,2021-03-21 22:21:37,21.1833,106.05,62.6,48,0,9.22
124,Puerto Lopez,CO,2021-03-21 22:21:38,4.0845,-72.956,89.01,45,84,4.25
125,Hohhot,CN,2021-03-21 22:21:38,40.8106,111.6522,19.4,79,0,4.47
126,Kidodi,TZ,2021-03-21 22:21:38,-7.6036,37.0044,72.64,96,97,1.68
127,Vanimo,PG,2021-03-21 22:21:39,-2.6741,141.3028,79.54,85,82,3.47
128,Necochea,AR,2021-03-21 22:21:39,-38.5473,-58.7368,57.99,73,0,1.01
129,Talnakh,RU,2021-03-21 22:21:39,69.4865,88.3972,-14.49,53,77,6.26
130,Bubaque,GW,2021-03-21 22:21:39,11.2833,-15.8333,77.02,71,3,18.84
131,Gat,IL,2021-03-21 22:21:40,31.61,34.7642,73.99,43,100,1.01
132,Bilibino,RU,2021-03-21 22:21:40,68.0546,166.4372,-12.32,60,0,1.66
133,Ternate,ID,2021-03-21 22:21:40,0.8,127.4,80.53,83,45,5.97
